1. Подобрать слово в текст						| +
2. Лексические значения слов					| +-
3. Выбрать верные харак-ки текста					| +-
4. Ударения							| +-
5. Заменить на верый пароним					| -
6. Исключить лишнее слов/заменть неверно употреблённое слово		| +-
7. Ошибка в обр. формы слова					| -
8. Грамм. ошибки <-> предложения (сопоставить)				| +-
9. На корни							| +-
10. На приставки							| +-
11. На суффикс							| -
12. На окончания гл. и суфф. причастий				| +
13. На не/ни							| +-
14. раздельно/слитно/через дефис					| +-
15. На нн/н							| +-
16. Выбрать предложения, с ОДНОЙ запятой				| +-
17. Расставить знаки препиная					| +-
18. Расставить знаки препиная (стих)					| -
19. Расставить знаки препиная					| +-
20. Расставить знаки препиная					| +-
21. Найти предложения с одним правилом				| -
22. Верны ли высказывания к тексту					| +
23. рассуждение/описание/повествование				| -
24. Выписать из текста (например, фразеологизм)			| +-
25. Связь предложений						| +-
26. На термины							| +-
27. СОЧИНЕНИЕ			| +-
